serration_idx,serration_depth,serration_width
1,0.0991212562716,0.7625916631756736
2,0.11276649448,0.6331917792164604
3,1.03792256441,3.2992878166765442
4,0.098559169011,0.699435893801461
5,0.0534550472034,0.5390141565053845
6,0.00970960864555,0.11897427738859592
7,0.085617172618,0.5959557073131958
8,0.0817869116263,0.8997033381935262
9,0.0483078285646,3.761543056424905
10,0.0482094371064,0.4383275144093954
11,0.0225668179753,0.6045256225772849
12,0.0742783734527,0.42385004097015716
13,0.0667455774126,0.34836831013329594
14,0.540953666781,3.3401223545078467
15,0.173326440118,0.8047134282438819
16,0.0093413037061,0.13787636150556307
17,0.0878367836189,0.6073000175608256
18,0.0355339965149,0.4215778221423845
19,0.0163789913703,0.379009087741117
